"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "CSS", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-games-component\profile-games-component.component.css", "CSS", 0, 0, 0, 0, 73, 0, 0, 0, 0, 15, 88
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-games-component\profile-games-component.component.html", "HTML", 0, 0, 0, 0, 0, 0, 57, 0, 0, 7, 64
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-games-component\profile-games-component.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-games-component\profile-games-component.component.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 2, 12, 71
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-games-ranks-component\profile-games-ranks-component.component.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-games-ranks-component\profile-games-ranks-component.component.html", "HTML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-games-ranks-component\profile-games-ranks-component.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-games-ranks-component\profile-games-ranks-component.component.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-settings-component\profile-settings-component.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-settings-component\profile-settings-component.component.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-settings-component\profile-settings-component.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-settings-component\profile-settings-component.component.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-view\profile-view.component.css", "CSS", 0, 0, 0, 0, 88, 0, 0, 0, 7, 12, 107
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-view\profile-view.component.html", "HTML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 8, 70
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-view\profile-view.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile-components\profile-view\profile-view.component.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile.component.css", "CSS", 0, 0, 0, 0, 94, 0, 0, 0, 7, 21, 122
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\profile-pages\profile\profile.component.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 9, 44
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\NotFound\not-found\not-found.component.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\NotFound\not-found\not-found.component.html", "HTML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\NotFound\not-found\not-found.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\NotFound\not-found\not-found.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\header\header.component.css", "CSS", 0, 0, 0, 0, 134, 0, 0, 0, 0, 33, 167
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 0, 49, 0, 0, 4, 53
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\header\header.component.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 0, 0, 1, 16, 95
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\home\home-page\home-page.component.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\home\home-page\home-page.component.html", "HTML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 0, 10
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\home\home-page\home-page.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\home\home-page\home-page.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\shared\modules\material.module.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\stats\advanced-statistics\advanced-statistics.component.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\stats\advanced-statistics\advanced-statistics.component.html", "HTML", 0, 0, 0, 0, 0, 0, 165, 0, 0, 15, 180
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\stats\advanced-statistics\advanced-statistics.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\stats\advanced-statistics\advanced-statistics.component.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\stats\advanced-statistics\data.ts", "TypeScript", 0, 0, 0, 1722, 0, 0, 0, 0, 0, 0, 1722
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\stats\stats-page\stats-page.component.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\stats\stats-page\stats-page.component.html", "HTML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 27
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\stats\stats-page\stats-page.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\pages\stats\stats-page\stats-page.component.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\admin.service.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 9, 33
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\filterService.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\findteammate.service.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\forum.service.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 15, 99
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\game.service.ts", "TypeScript", 0, 0, 0, 97, 0, 0, 0, 0, 0, 21, 118
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\models\forum.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 1, 3, 30
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\models\game.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 10, 99
"c:\Users\vrclu\source\repos\GameProfile-Asp.net-Angular\GameProfile\Front\angular\src\app\services\models\profile.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
